,id,type,x,y,z,demand,priority,name,equivalence_class,stationary_distribution,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,eigenvector_centrality,hits_hub,hits_authority
0,0,city_hall,137.9271716983627,34.83575831770259,43.88288908534851,0,1.0,森町役場,1,0.09650253797622689,192.0,114.0,1.59375,1.0,0.59375,1.0,0.007184311489129743,0.008962996156589666,0.09936270313002159,0.005368045262956146,0.007906232870168837
1,1,shelter,137.89118769892,34.825233541179,39.14172435622423,0,2.0,一宮総合センター,1,0.04080343971341178,182.0,100.0,1.46875,0.9479166666666666,0.5208333333333333,0.9504950495049505,0.00958376710937759,0.007513735856903802,0.0982663986008782,0.004154173510510623,0.007873667260161846
2,2,shelter,137.94721066184,34.902459866552,125.84515130496658,0,2.0,旧三倉小学校,1,0.042289117514913106,121.0,13.0,0.6979166666666666,0.6302083333333333,0.06770833333333333,0.7300380228136882,0.019562398122182235,0.006472745119666833,0.06776616217830296,0.0004898630478131789,0.0049557453680869595
3,3,shelter,137.943806889214,34.8997006677885,126.1978677042942,0,2.0,三倉総合センター,1,0.04242514374761568,123.0,13.0,0.7083333333333333,0.640625,0.06770833333333333,0.735632183908046,0.011905355233248904,0.0065161208802228705,0.06851798805820132,0.0004961801372099847,0.005051293397622267
4,4,shelter,137.92894238434,34.837856283803,44.184546432957056,0,2.0,森小学校,1,0.09816700644650814,192.0,115.0,1.5989583333333333,1.0,0.5989583333333333,1.0,0.007865942815700137,0.00896357322926675,0.09936270313002159,0.005308398128946016,0.007906706999447783
5,5,shelter,137.91934369789,34.826775281129,37.706170791509855,0,2.0,森町文化会館,1,0.05794530487975266,192.0,141.0,1.734375,1.0,0.734375,1.0,0.018272038860911544,0.008975721268985371,0.09936270313002159,0.00636057043990775,0.007898343383870793
6,6,shelter,137.92585272867,34.835848500095,44.527716384353695,0,2.0,遠江総合高等学校,1,0.09518197582075713,192.0,112.0,1.5833333333333333,1.0,0.5833333333333333,1.0,0.006864157595346023,0.008961811329737836,0.09936270313002159,0.005324391322044924,0.00790657987110812
7,7,shelter,137.9278040689,34.838103612536,44.60000000000001,0,2.0,森町総合体育館,1,0.09353393082690913,192.0,114.0,1.59375,1.0,0.59375,1.0,0.007760207020796485,0.008962996156589666,0.09936270313002159,0.005261817707471144,0.007907077262697033
8,8,shelter,137.9418275946,34.859104722076,58.40676735200023,0,2.0,旧天方小学校,1,0.03426266359015536,192.0,79.0,1.4114583333333333,1.0,0.4114583333333333,1.0,0.014244111683370033,0.008933692751806117,0.09936270313002159,0.003291141422837475,0.00792274197721161
9,9,shelter,137.9012781733,34.811145054853,27.54085051562456,0,2.0,園田総合センター,1,0.05774838605053968,182.0,113.0,1.5364583333333333,0.9479166666666666,0.5885416666666666,0.9504950495049505,0.008599756069360644,0.0075210287059348695,0.0982663986008782,0.004813012477985852,0.007868430213155673
10,10,shelter,137.90125435611,34.815202366677,43.905831468994805,0,2.0,旭が丘中学校,1,0.06136313299183562,182.0,114.0,1.5416666666666665,0.9479166666666666,0.59375,0.9504950495049505,0.005799853412139676,0.007521521310931379,0.0982663986008782,0.004932705777169526,0.00786747878273778
11,11,shelter,137.89930836623,34.816999084056,41.56872869724239,0,2.0,宮園小学校,1,0.06310512616584006,182.0,111.0,1.5260416666666665,0.9479166666666666,0.578125,0.9504950495049505,0.007418294829973603,0.007520017071015292,0.0982663986008782,0.004711835421043912,0.007869234459761157
12,12,shelter,137.9325440238,34.845068958885,56.67189631509701,0,2.0,森中学校,1,0.058447593163804476,192.0,109.0,1.5677083333333333,1.0,0.5677083333333333,1.0,0.007796878891812697,0.008959953196197846,0.09936270313002159,0.004970429070914651,0.007909393482687113
13,13,shelter,137.92134023669,34.811632913831,32.222300454792276,0,2.0,飯田小学校,1,0.06004417530756192,183.0,130.0,1.6302083333333333,0.953125,0.6770833333333333,0.9552238805970149,0.0060762827048828245,0.0075687051052267754,0.09826660553512692,0.005730330613248476,0.007866269829795535
14,14,shelter,137.92041219409,34.813195183975,33.95723126516025,0,2.0,飯田総合センター,1,0.06001586254721945,183.0,135.0,1.65625,0.953125,0.703125,0.9552238805970149,0.006012875898416174,0.007570526573031714,0.09826660553512692,0.005970886017288862,0.007864357678236896
15,15,shelter,137.93859223294,34.869107406165,68.41262198495207,0,2.0,旧泉陽中学校,1,0.031689850909365304,192.0,57.0,1.296875,1.0,0.296875,1.0,0.023150578880522396,0.008897125114037212,0.09936270313002159,0.0021007085384877,0.007932204612667018
16,16,client,137.94912493111332,34.891076263239015,191.8540511330475,2,5.0,三倉（黒田）_1,1,1.1170603687403469e-05,17.0,27.0,0.22916666666666666,0.08854166666666666,0.140625,0.5231607629427792,0.0012771378915741904,0.00246802987577255,0.002123638232265311,0.0009934494980074944,0.00020492825101631418
17,17,client,137.9288491791216,34.90048602514178,420.0122854474216,2,2.0,三倉（三倉）_1,1,8.925401141558244e-07,5.0,15.0,0.10416666666666666,0.026041666666666664,0.078125,0.4266666666666667,0.00328966957410837,0.0015604754507089298,0.0005560163806493788,0.0005252594951871401,2.059413095828604e-05
18,18,client,137.94680664950144,34.91703980037675,338.0469239207915,2,1.0,三倉（中村）_1,1,1.2042235983805716e-06,9.0,14.0,0.11979166666666666,0.046875,0.07291666666666666,0.43243243243243246,0.0025921484677205522,0.002101681198995247,0.001096304529143392,0.0005250823477939133,3.804073013130942e-05
19,19,client,137.97274402536593,34.92262871866318,270.40059800693115,1,4.0,三倉（上野平）_1,1,1.8100720101249523e-07,3.0,19.0,0.11458333333333333,0.015625,0.09895833333333333,0.34594594594594597,0.005389474665324897,0.0009070668668133825,2.626275240950306e-05,0.0006455342958840316,3.128737880651665e-05
20,20,client,137.98129097712538,34.94335573245778,497.6666118024019,2,3.0,三倉（大河内）_1,1,3.324964650830431e-08,1.0,15.0,0.08333333333333333,0.005208333333333333,0.078125,0.257372654155496,0.0,0.0008177920636591514,2.0857736082169436e-07,0.0005276480812971118,5.131289463034523e-06
21,21,client,137.9459987498696,34.92942962964434,285.5622273083897,2,2.0,三倉（乙丸）_1,1,5.694564688268899e-07,4.0,14.0,0.09375,0.020833333333333332,0.07291666666666666,0.3047619047619048,0.0002258762361838278,0.0011061088928429955,1.775805500502397e-05,0.0005253039918161641,1.7674381175201876e-05
22,22,client,137.9260770771529,34.91919261552697,317.36411158012265,2,5.0,三倉（大久保）_1,1,1.3864975770966348e-06,9.0,16.0,0.13020833333333331,0.046875,0.08333333333333333,0.43243243243243246,0.009663946774004952,0.0021467074211022046,0.0011130372773024,0.0005252347071487186,4.174212929277216e-05
23,23,client,137.91687634849472,34.90832195435664,293.9535585955816,2,4.0,三倉（田能）_1,1,4.6886478201335624e-07,3.0,15.0,0.09375,0.015625,0.078125,0.3033175355450237,0.0,0.0010388767582818403,1.3362663420775106e-05,0.0005253170702892176,1.2525970859346392e-05
24,24,client,137.95482590143448,34.85964050483587,204.94152174497896,1,4.0,大鳥居_1,1,1.3536790274527866e-05,46.0,92.0,0.71875,0.23958333333333331,0.47916666666666663,0.5680473372781065,0.0006023907844599145,0.0025812813694839586,0.021660515900501928,0.003965845583755836,0.00178843570248822
25,25,client,137.9428087101402,34.86000792331028,59.45855731453261,2,2.0,大鳥居_2,1,3.278941257738033e-05,56.0,83.0,0.7239583333333333,0.29166666666666663,0.43229166666666663,0.5853658536585366,0.0008432788838174374,0.0030897784060878487,0.027785159654144027,0.003537923629276073,0.0021936930298989714
