center_x,center_y,radius,covered_ids,num_covered
9000,1100,1000,"[35, 69, 95, 102, 114, 124, 131, 142, 156, 159, 194, 228, 268, 285]",14
9100,2400,1000,"[170, 191, 209, 219, 266, 271]",6
9100,4300,1000,"[160, 239]",2
