center_x,center_y,radius,covered_ids,num_covered
9000,1100,1000,"[35, 69, 95, 102, 114, 124, 131, 142, 159, 194, 228, 285]",12
9000,1800,1000,"[170, 191]",2
9100,4300,1000,"[160, 239]",2
